7607436,16473,2023-05-02 16:03:00,,0000-00-00,0000-00-00
7607437,15167,2023-05-02 16:03:00,,0000-00-00,0000-00-00
7607438,17309,2023-05-02 16:04:00,,0000-00-00,0000-00-00
7607439,10987,2023-05-02 16:05:00,,0000-00-00,0000-00-00
7607440,13563,2023-05-02 16:05:00,,0000-00-00,0000-00-00
7607441,52544,2023-05-02 16:08:00,,0000-00-00,0000-00-00
7607442,83576,2023-05-02 16:12:00,,0000-00-00,0000-00-00
7607443,145876,2023-05-02 16:12:00,,0000-00-00,0000-00-00
7607444,91361,2023-05-02 16:19:00,,0000-00-00,0000-00-00
7607445,12575,2023-05-02 17:01:00,,0000-00-00,0000-00-00
7607446,13821,2023-05-02 17:34:00,,0000-00-00,0000-00-00
7607447,17542,2023-05-02 18:10:00,,0000-00-00,0000-00-00
7607448,12664,2023-05-02 18:10:00,,0000-00-00,0000-00-00
7607449,14672,2023-05-02 18:10:00,,0000-00-00,0000-00-00
7607450,142962,2023-05-02 18:10:00,,0000-00-00,0000-00-00
7607451,16382,2023-05-02 18:10:00,,0000-00-00,0000-00-00
7607452,16712,2023-05-02 18:11:00,,0000-00-00,0000-00-00
7607453,5782,2023-05-02 18:11:00,,0000-00-00,0000-00-00
7607454,11472,2023-05-02 18:11:00,,0000-00-00,0000-00-00
7607455,19637,2023-05-03 06:38:00,,0000-00-00,0000-00-00
7607456,173971,2023-05-03 06:44:00,,0000-00-00,0000-00-00
7607457,19837,2023-05-03 07:12:00,,0000-00-00,0000-00-00
7607458,15351,2023-05-03 07:46:00,,0000-00-00,0000-00-00
7607459,13127,2023-05-03 07:56:00,,0000-00-00,0000-00-00
7607460,148674,2023-05-03 07:56:00,,0000-00-00,0000-00-00
7607461,161735,2023-05-03 07:57:00,,0000-00-00,0000-00-00
7607462,16712,2023-05-03 08:01:00,,0000-00-00,0000-00-00
7607463,17542,2023-05-03 08:03:00,,0000-00-00,0000-00-00
7607464,16834,2023-05-03 08:07:00,,0000-00-00,0000-00-00
7607465,14873,2023-05-03 08:09:00,,0000-00-00,0000-00-00
7607466,11625,2023-05-03 08:09:00,,0000-00-00,0000-00-00
7607467,154725,2023-05-03 08:10:00,,0000-00-00,0000-00-00
7607468,13472,2023-05-03 08:12:00,,0000-00-00,0000-00-00
7607469,16382,2023-05-03 08:13:00,,0000-00-00,0000-00-00
7607470,52543,2023-05-03 08:13:00,,0000-00-00,0000-00-00
7607471,19347,2023-05-03 08:13:00,,0000-00-00,0000-00-00
7607472,271943,2023-05-03 08:14:00,,0000-00-00,0000-00-00
7607473,19272,2023-05-03 08:14:00,,0000-00-00,0000-00-00
7607474,209253,2023-05-03 08:15:00,,0000-00-00,0000-00-00
7607475,142962,2023-05-03 08:16:00,,0000-00-00,0000-00-00
7607476,91361,2023-05-03 08:18:00,,0000-00-00,0000-00-00
7607477,15167,2023-05-03 08:25:00,,0000-00-00,0000-00-00
7607478,23814,2023-05-03 08:27:00,,0000-00-00,0000-00-00
7607479,38271,2023-05-03 08:28:00,,0000-00-00,0000-00-00
7607480,11472,2023-05-03 08:29:00,,0000-00-00,0000-00-00
7607481,186527,2023-05-03 08:30:00,,0000-00-00,0000-00-00
7607482,17143,2023-05-03 08:31:00,,0000-00-00,0000-00-00
