365990,4218,2014-09-22 16:01:23,0000-00-00,0000-00-00
366088,10693,2014-09-23 16:03:09,0000-00-00,0000-00-00
371700,113355,2014-09-22 11:50:29,0000-00-00,0000-00-00
371701,280593,2014-09-22 11:50:41,0000-00-00,0000-00-00
371704,280593,2014-09-22 13:05:27,0000-00-00,0000-00-00
371705,113355,2014-09-22 13:05:31,0000-00-00,0000-00-00
371706,4321,2014-09-22 13:28:44,0000-00-00,0000-00-00
371707,2828,2014-09-22 13:31:06,0000-00-00,0000-00-00
371709,2134,2014-09-22 13:32:18,0000-00-00,0000-00-00
371728,2134,2014-09-22 16:00:48,0000-00-00,0000-00-00
371732,2302,2014-09-22 16:01:27,0000-00-00,0000-00-00
371733,2828,2014-09-22 16:01:31,0000-00-00,0000-00-00
371734,4321,2014-09-22 16:01:36,0000-00-00,0000-00-00
371784,113355,2014-09-23 09:13:09,0000-00-00,0000-00-00
371785,280593,2014-09-23 09:13:12,0000-00-00,0000-00-00
371786,280593,2014-09-23 09:54:02,0000-00-00,0000-00-00
371787,113355,2014-09-23 09:54:08,0000-00-00,0000-00-00
371788,113355,2014-09-23 09:54:20,0000-00-00,0000-00-00
371789,280593,2014-09-23 09:54:24,0000-00-00,0000-00-00
371790,113355,2014-09-23 13:00:27,0000-00-00,0000-00-00
371791,280593,2014-09-23 13:00:32,0000-00-00,0000-00-00
371792,2302,2014-09-23 13:11:33,0000-00-00,0000-00-00
371793,2134,2014-09-23 13:11:38,0000-00-00,0000-00-00
371794,4321,2014-09-23 13:12:03,0000-00-00,0000-00-00
371795,2828,2014-09-23 13:12:09,0000-00-00,0000-00-00
371820,2134,2014-09-23 16:00:27,0000-00-00,0000-00-00
371827,2302,2014-09-23 16:02:25,0000-00-00,0000-00-00
371828,4321,2014-09-23 16:02:32,0000-00-00,0000-00-00
371830,2828,2014-09-23 16:04:15,0000-00-00,0000-00-00
371871,280593,2014-09-24 09:21:27,0000-00-00,0000-00-00
371872,113355,2014-09-24 09:21:30,0000-00-00,0000-00-00
371873,2302,2014-09-24 13:05:25,0000-00-00,0000-00-00
371874,2134,2014-09-24 13:05:29,0000-00-00,0000-00-00
371875,2828,2014-09-24 13:05:44,0000-00-00,0000-00-00
371876,10693,2014-09-24 13:08:56,0000-00-00,0000-00-00
371877,4321,2014-09-24 13:09:01,0000-00-00,0000-00-00
371881,113355,2014-09-24 14:34:31,0000-00-00,0000-00-00
371882,280593,2014-09-24 14:34:37,0000-00-00,0000-00-00
377657,2134,2014-09-24 16:00:26,0000-00-00,0000-00-00
377658,4321,2014-09-24 16:00:31,0000-00-00,0000-00-00
377659,10693,2014-09-24 16:00:37,0000-00-00,0000-00-00
377660,2302,2014-09-24 16:00:41,0000-00-00,0000-00-00
377661,2828,2014-09-24 16:00:45,0000-00-00,0000-00-00
377707,113355,2014-09-25 09:17:45,0000-00-00,0000-00-00
377708,280593,2014-09-25 09:17:51,0000-00-00,0000-00-00
377709,2302,2014-09-25 12:06:47,0000-00-00,0000-00-00
377710,2134,2014-09-25 12:06:50,0000-00-00,0000-00-00
377711,2828,2014-09-25 12:07:05,0000-00-00,0000-00-00
377712,10693,2014-09-25 12:07:09,0000-00-00,0000-00-00
377713,4321,2014-09-25 12:07:13,0000-00-00,0000-00-00
377714,113355,2014-09-25 13:13:48,0000-00-00,0000-00-00
377715,280593,2014-09-25 13:13:50,0000-00-00,0000-00-00
377741,10693,2014-09-25 16:00:37,0000-00-00,0000-00-00
377742,2134,2014-09-25 16:00:42,0000-00-00,0000-00-00
377743,2828,2014-09-25 16:00:45,0000-00-00,0000-00-00
377744,2302,2014-09-25 16:00:50,0000-00-00,0000-00-00
377745,4321,2014-09-25 16:00:55,0000-00-00,0000-00-00
395468,2302,2014-09-26 13:11:32,0000-00-00,0000-00-00
395469,2828,2014-09-26 13:11:36,0000-00-00,0000-00-00
395470,4321,2014-09-26 13:11:41,0000-00-00,0000-00-00
395471,2134,2014-09-26 13:11:45,0000-00-00,0000-00-00
395472,10693,2014-09-26 13:11:50,0000-00-00,0000-00-00
3437174,2,2016-06-22 16:13:59,0000-00-00,0000-00-00
3438301,2,2016-08-03 16:12:33,0000-00-00,0000-00-00
